Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
2000,100000,100000,100.0,2.2,0.23,0.22,0.05,31.97,0.6,98949,1015,36,0,0.22,0.22,0.22,2.66
2000,100000,100000,100.0,1.1,2.03,2.55,0.05,29.75,1.94,49820,50168,12,0,2.55,4.75,4.97,5.19
